GENE,Neuron
SRRM4,Neuron_Neurogenic progenitor
NREP,Neuron_Neurogenic progenitor
ZEB2,Neuron_Neurogenic progenitor
HN1,Neuron_Neurogenic progenitor
DLX1,Neuron_Neurogenic progenitor
CCDC88A,Neuron_Neurogenic progenitor
GNG2,Neuron_Neurogenic progenitor
AURKB,Neuron_NSC
CDCA3,Neuron_NSC
CKAP2,Neuron_NSC
UBE2C,Neuron_NSC
CDCA2,Neuron_NSC
HMMR,Neuron_NSC
TK1,Neuron_NSC
PBK,Neuron_NSC
NEIL3,Neuron_NSC
1190002F15RIK,Neuron_NSC
CASC5,Neuron_NSC
KIF4,Neuron_NSC
BUB1B,Neuron_NSC
CKAP2L,Neuron_NSC
BUB1,Neuron_NSC
CCNB1,Neuron_NSC
CDCA5,Neuron_NSC
KIF2C,Neuron_NSC
TTK,Neuron_NSC
DEPDC1A,Neuron_NSC
NDC80,Neuron_NSC
ASPM,Neuron_NSC
ECT2,Neuron_NSC
SKA1,Neuron_NSC
CDC25C,Neuron_NSC
TROAP,Neuron_NSC
FOXM1,Neuron_NSC
E2F8,Neuron_NSC
KIF18B,Neuron_NSC
SPC25,Neuron_NSC
BIRC5,Neuron_NSC
CDC20,Neuron_NSC
MIS18BP1,Neuron_NSC
CENPI,Neuron_NSC
CDK1,Neuron_NSC
PSRC1,Neuron_NSC
HIST1H2AB,Neuron_NSC
PRR11,Neuron_NSC
GM6531,Neuron_NSC
TRIP13,Neuron_NSC
RRM2,Neuron_NSC
FAM64A,Neuron_NSC
E2F7,Neuron_NSC
CEP55,Neuron_NSC
SPAG5,Neuron_NSC
HIST1H2AO,Neuron_NSC
DLX1AS,Neuron_NSC
GTSE1,Neuron_NSC
ESCO2,Neuron_NSC
EFNA5,Neuron_Interneurons
TRHDE,Neuron_Interneurons
THSD7A,Neuron_Interneurons
GALNTL6,Neuron_Interneurons
GRIA4,Neuron_Interneurons
VSNL1,Neuron_Interneurons
HS3ST2,Neuron_Interneurons
HCN1,Neuron_Interneurons
